Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/6/2017 19:00,2017,1,6,19,124,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 20:00,2017,1,6,20,130,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 21:00,2017,1,6,21,129,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 22:00,2017,1,6,22,138,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2017 23:00,2017,1,6,23,133,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 0:00,2017,1,7,0,126,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 1:00,2017,1,7,1,124,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 2:00,2017,1,7,2,126,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 3:00,2017,1,7,3,108,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 4:00,2017,1,7,4,79,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 5:00,2017,1,7,5,49,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 6:00,2017,1,7,6,40,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 7:00,2017,1,7,7,34,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 8:00,2017,1,7,8,34,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 9:00,2017,1,7,9,43,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 10:00,2017,1,7,10,52,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 11:00,2017,1,7,11,53,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 12:00,2017,1,7,12,64,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 13:00,2017,1,7,13,61,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 14:00,2017,1,7,14,68,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 15:00,2017,1,7,15,72,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 16:00,2017,1,7,16,76,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 17:00,2017,1,7,17,79,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 18:00,2017,1,7,18,85,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 19:00,2017,1,7,19,87,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 20:00,2017,1,7,20,87,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 21:00,2017,1,7,21,92,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 22:00,2017,1,7,22,93,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2017 23:00,2017,1,7,23,90,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 0:00,2017,1,8,0,81,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 1:00,2017,1,8,1,86,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 2:00,2017,1,8,2,88,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 3:00,2017,1,8,3,93,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 4:00,2017,1,8,4,94,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 5:00,2017,1,8,5,80,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 6:00,2017,1,8,6,81,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 7:00,2017,1,8,7,97,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 8:00,2017,1,8,8,96,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 9:00,2017,1,8,9,90,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 10:00,2017,1,8,10,95,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 11:00,2017,1,8,11,82,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 12:00,2017,1,8,12,75,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 13:00,2017,1,8,13,84,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 14:00,2017,1,8,14,78,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 15:00,2017,1,8,15,90,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 16:00,2017,1,8,16,92,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 17:00,2017,1,8,17,83,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 18:00,2017,1,8,18,87,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 19:00,2017,1,8,19,96,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 20:00,2017,1,8,20,108,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 21:00,2017,1,8,21,104,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 22:00,2017,1,8,22,91,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2017 23:00,2017,1,8,23,95,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 0:00,2017,1,9,0,87,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 1:00,2017,1,9,1,87,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 2:00,2017,1,9,2,97,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 3:00,2017,1,9,3,93,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 4:00,2017,1,9,4,91,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 5:00,2017,1,9,5,96,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 6:00,2017,1,9,6,81,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 7:00,2017,1,9,7,78,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 8:00,2017,1,9,8,72,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 9:00,2017,1,9,9,57,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 10:00,2017,1,9,10,56,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 11:00,2017,1,9,11,60,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 12:00,2017,1,9,12,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 13:00,2017,1,9,13,80,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 14:00,2017,1,9,14,55,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 15:00,2017,1,9,15,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 16:00,2017,1,9,16,42,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 17:00,2017,1,9,17,40,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 18:00,2017,1,9,18,40,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 19:00,2017,1,9,19,36,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 20:00,2017,1,9,20,32,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 21:00,2017,1,9,21,27,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 22:00,2017,1,9,22,26,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/9/2017 23:00,2017,1,9,23,29,µg/m³,1 Hr,Valid
