Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/11/2015 19:00,2015,1,11,19,113,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 20:00,2015,1,11,20,117,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 21:00,2015,1,11,21,124,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 22:00,2015,1,11,22,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2015 23:00,2015,1,11,23,81,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 0:00,2015,1,12,0,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 1:00,2015,1,12,1,110,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 2:00,2015,1,12,2,104,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 3:00,2015,1,12,3,103,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 4:00,2015,1,12,4,109,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 5:00,2015,1,12,5,116,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 6:00,2015,1,12,6,112,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 7:00,2015,1,12,7,99,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 8:00,2015,1,12,8,95,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 9:00,2015,1,12,9,95,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 10:00,2015,1,12,10,104,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/12/2015 11:00,2015,1,12,11,115,µg/m³,1 Hr,Valid
